,game_date,pts
66928,2005-01-15,84
67234,2005-01-29,61
67277,2005-01-31,89
67288,2005-02-01,76
67349,2005-02-04,115
67380,2005-02-05,106
67401,2005-02-07,102
67499,2005-02-11,94
67541,2005-02-14,105
67629,2005-02-22,88
67832,2005-03-04,89
68087,2005-03-18,106
68121,2005-03-19,82
68253,2005-03-25,101
68270,2005-03-26,96
68314,2005-03-28,100
68329,2005-03-29,107
68434,2005-04-03,102
68520,2005-04-07,98
68589,2005-04-10,113
68665,2005-04-14,95
68710,2005-04-16,100
68788,2005-04-19,91
68867,2005-11-02,100
69005,2005-11-09,83
69043,2005-11-11,84
69088,2005-11-13,105
69103,2005-11-14,73
69145,2005-11-16,92
69179,2005-11-18,86
69282,2005-11-23,95
69375,2005-11-28,94
69477,2005-12-02,98
69538,2005-12-06,104
69560,2005-12-07,79
69615,2005-12-09,81
69759,2005-12-16,111
69998,2005-12-28,95
70032,2005-12-30,108
70239,2006-01-10,92
70342,2006-01-15,103
70400,2006-01-18,104
70618,2006-01-28,76
70661,2006-01-30,101
70860,2006-02-08,83
70897,2006-02-10,100
70936,2006-02-12,83
70949,2006-02-13,72
71139,2006-02-25,89
71172,2006-02-27,93
71204,2006-03-01,99
71277,2006-03-04,103
71329,2006-03-07,107
71425,2006-03-11,109
71654,2006-03-22,87
71727,2006-03-26,94
71887,2006-04-02,95
71933,2006-04-04,90
72057,2006-04-09,101
72068,2006-04-10,82
72132,2006-04-13,87
72190,2006-04-16,97
72275,2006-04-19,90
72306,2006-11-01,118
72337,2006-11-03,92
72450,2006-11-08,109
72511,2006-11-10,94
72529,2006-11-11,92
72643,2006-11-17,100
72770,2006-11-22,89
72791,2006-11-24,101
72882,2006-11-28,85
72917,2006-11-29,101
72946,2006-12-01,100
73247,2006-12-15,96
73425,2006-12-23,77
73532,2006-12-29,86
73595,2006-12-31,80
73612,2007-01-02,100
73642,2007-01-03,99
73680,2007-01-05,111
73921,2007-01-17,98
73993,2007-01-20,108
74016,2007-01-22,83
74164,2007-01-28,105
74246,2007-01-31,87
74305,2007-02-03,94
74445,2007-02-10,102
74501,2007-02-13,107
74533,2007-02-14,101
74611,2007-02-21,84
74701,2007-02-25,92
74760,2007-02-28,94
74819,2007-03-03,104
74958,2007-03-10,90
75060,2007-03-14,94
75261,2007-03-23,68
75388,2007-03-30,103
75422,2007-03-31,94
75559,2007-04-07,118
75629,2007-04-10,69
75679,2007-04-13,86
75735,2007-04-15,105
75791,2007-04-18,94
75866,2007-11-02,106
76109,2007-11-13,102
76127,2007-11-14,81
76196,2007-11-16,118
76202,2007-11-17,83
76316,2007-11-21,86
76466,2007-11-29,59
76607,2007-12-05,100
76646,2007-12-07,90
76811,2007-12-14,96
76961,2007-12-21,95
77054,2007-12-26,96
77237,2008-01-04,93
77246,2008-01-05,91
77303,2008-01-08,105
77489,2008-01-16,111
77555,2008-01-19,88
77738,2008-01-27,104
77777,2008-01-29,109
77798,2008-01-30,89
77855,2008-02-02,85
78015,2008-02-09,99
78076,2008-02-13,103
78127,2008-02-19,113
78178,2008-02-20,84
78272,2008-02-24,92
78380,2008-02-29,93
78392,2008-03-01,92
78590,2008-03-10,79
78641,2008-03-12,91
78764,2008-03-17,98
78874,2008-03-22,93
79000,2008-03-28,95
79039,2008-03-30,109
79093,2008-04-01,115
79102,2008-04-02,114
79147,2008-04-04,110
79222,2008-04-08,98
79418,2008-04-16,123
79499,2008-10-31,87
79745,2008-11-11,80
79763,2008-11-12,132
79904,2008-11-18,101
79982,2008-11-21,87
80097,2008-11-26,96
80249,2008-12-03,82
80264,2008-12-05,95
80360,2008-12-09,100
80384,2008-12-10,121
80465,2008-12-13,114
80504,2008-12-15,103
80522,2008-12-16,114
80621,2008-12-21,105
80789,2008-12-30,93
80952,2009-01-06,99
81031,2009-01-10,76
81076,2009-01-12,101
81151,2009-01-16,89
81334,2009-01-24,110
81487,2009-01-31,122
81646,2009-02-08,108
81694,2009-02-10,127
81712,2009-02-11,124
81892,2009-02-22,100
82015,2009-02-28,115
82201,2009-03-08,101
82240,2009-03-10,120
82261,2009-03-11,116
82315,2009-03-13,102
82357,2009-03-15,93
82501,2009-03-21,103
82651,2009-03-28,85
82684,2009-03-30,104
82693,2009-03-31,104
82816,2009-04-05,112
82858,2009-04-07,103
82915,2009-04-10,105
82972,2009-04-12,105
83092,2009-10-28,93
83141,2009-10-30,100
83327,2009-11-07,87
83522,2009-11-18,110
83609,2009-11-21,98
83669,2009-11-25,97
83741,2009-11-27,125
83828,2009-12-02,104
83867,2009-12-04,114
84008,2009-12-11,113
84095,2009-12-15,87
84149,2009-12-17,89
84391,2009-12-29,104
84430,2009-12-30,95
84460,2010-01-01,112
84631,2010-01-09,96
84691,2010-01-11,88
84739,2010-01-13,93
84787,2010-01-16,90
85111,2010-01-30,96
85141,2010-01-31,91
85265,2010-02-06,106
85386,2010-02-16,85
85603,2010-02-26,118
85693,2010-03-01,93
85769,2010-03-05,96
85895,2010-03-10,87
85940,2010-03-12,112
85970,2010-03-13,128
86006,2010-03-15,94
86048,2010-03-17,97
86256,2010-03-26,96
86304,2010-03-29,98
86337,2010-03-31,90
86391,2010-04-02,117
86442,2010-04-04,113
86511,2010-04-07,105
86532,2010-04-09,103
86659,2010-04-14,113
86722,2010-10-27,98
86749,2010-10-29,101
86884,2010-11-04,120
86998,2010-11-09,80
87064,2010-11-12,103
87140,2010-11-16,118
87164,2010-11-17,113
87191,2010-11-19,125
87314,2010-11-24,99
87401,2010-11-28,125
87500,2010-12-03,100
87550,2010-12-05,116
87646,2010-12-10,101
87840,2010-12-18,102
88022,2010-12-28,98
88064,2010-12-30,103
88213,2011-01-07,121
88297,2011-01-11,100
88339,2011-01-12,125
88470,2011-01-19,89
88509,2011-01-21,92
88551,2011-01-22,98
88650,2011-01-28,102
88803,2011-02-04,98
88992,2011-02-12,105
89187,2011-02-25,109
89235,2011-02-27,91
89280,2011-03-01,110
89397,2011-03-06,92
89466,2011-03-09,110
89478,2011-03-10,109
89583,2011-03-15,117
89655,2011-03-18,95
89706,2011-03-20,95
89823,2011-03-26,106
90066,2011-04-06,97
90135,2011-04-08,116
90156,2011-04-10,110
90264,2011-04-13,102
90354,2011-12-28,78
90360,2011-12-29,82
90411,2011-12-31,114
90570,2012-01-06,99
90597,2012-01-07,103
90717,2012-01-12,83
90762,2012-01-14,92
